"id"	"title"	"tagnames"	"author_id"	"body"	"node_type"	"parent_id"	"abs_parent_id"	"added_at"	"score"	"state_string"	"last_edited_id"	"last_activity_by_id"	"last_activity_at"	"active_revision_id"	"extra"	"extra_ref_id"	"extra_count"	"marked"
"5339"	"Whether pdf of Unit and Homework is available?"	"cs101 pdf"	"100000458"	""	"question"	"\N"	"\N"	"2012-02-25 08:09:06.787181+00"	"1"	""	"\N"	"100000921"	"2012-02-25 08:11:01.623548+00"	"6922"	"\N"	"\N"	"204"	"f"
"2312"	"Feedback on Audio Quality"	"cs101 production audio"	"100005361"	"<p>We are looking for feedback on the audio in our videos. Tell us what you think and try to be as <em>specific</em> as possible.</p>"	"question"	"\N"	"\N"	"2012-02-23 00:28:02.321344+00"	"2"	""	"\N"	"201398145"	"2014-01-14 17:18:35.613939+00"	"2960"	"\N"	"\N"	"524"	"f"
"2741"	"where is the sample page for homework?"	"cs101 missing_info homework"	"100001178"	"<p>I am sorry if I am being a nob ... but I do not seem to find any information regarding the sample page reffered to on the 1 question of homework 1.</p>
<p>Where can I get the sample page?</p>
<p>Cheers</p>"	"question"	"\N"	"\N"	"2012-02-23 09:15:02.270861+00"	"0"	"(closed)"	"10843"	"100001178"	"2012-02-23 10:36:43.165119+00"	"3513"	"\N"	"\N"	"169"	"t"
"6361"	"When will unit 2 be online?"	"cs101 unit2"	"100003292"	"<p>When will unit 2 be online?</p>"	"question"	"\N"	"\N"	"2012-02-26 15:47:12.522262+00"	"0"	"(closed)"	"51919"	"100003292"	"2012-03-03 10:12:27.41521+00"	"21196"	"\N"	"\N"	"186"	"t"
"7185"	"Hungarian group"	"cs101 hungarian nationalities"	"100003268"	"<p>Hi there!</p>
<p>Any Hungarians doing the course? We could form a group!<br>
;)</p>"	"question"	"\N"	"\N"	"2012-02-27 15:09:11.184434+00"	"0"	""	"\N"	"100003268"	"2012-02-27 15:09:11.184434+00"	"9322"	"\N"	"\N"	"106"	"f"
"26454"	"Course Application."	"cs101 application."	"100003192"	"<p>Please tell about the Course Application. How to use the Course for higher education and jobs?</p>"	"question"	"\N"	"\N"	"2012-03-08 08:34:06.704674+00"	"-1"	""	"\N"	"100003192"	"2012-03-08 08:34:06.704674+00"	"34477"	"\N"	"\N"	"73"	"f"
"3778"	"What profile information is public?"	"cs101 profile"	"100008254"	"<p>Is there a way to change what is and isn't publicly displayed?</p>"	"question"	"\N"	"\N"	"2012-02-23 22:00:39.134386+00"	"0"	"(closed)"	"90176"	"100002517"	"2012-03-08 22:12:34.271971+00"	"4876"	"\N"	"\N"	"228"	"t"
"262"	"Course content Opera browser error"	"cs101 browsers issues"	"100000425"	"<p>It wont work with the opera browser, guys. </p>"	"question"	"\N"	"\N"	"2012-02-21 10:57:22.321732+00"	"1"	""	"\N"	"100006616"	"2012-03-22 16:12:10.024851+00"	"332"	"\N"	"\N"	"393"	"f"
"15084"	"Digital Board used"	"cs101 withe board digital"	"100002999"	"<p>Hi Guys, </p>
<p>Does anyone know the model of the Digital Board the professor has been used during the course ?</p>
<p>I am also a online professor in Brazil and I am interested on that type of gadget.</p>
<p>Thanks, <br>
Augusto</p>"	"question"	"\N"	"\N"	"2012-03-02 13:35:40.964189+00"	"0"	""	"\N"	"100004557"	"2012-03-02 13:38:25.194134+00"	"19481"	"\N"	"\N"	"178"	"f"
"6336"	"Unit 1: Same Value Q"	"cs101 value same"	"100002404"	"<p>what is the difference between [S] and [s+s) ? are they the same </p>"	"question"	"\N"	"\N"	"2012-02-26 15:16:00.995176+00"	"0"	""	"\N"	"100003151"	"2012-02-26 15:55:45.238065+00"	"8249"	"\N"	"\N"	"151"	"f"
"3017"	"Homework #1"	"cs101 homework"	"100000972"	"<p>I didn't exactly understand what the 1st homework assignment question is about? Do we have to select options which are related to learning search engine or what?</p>"	"question"	"\N"	"\N"	"2012-02-23 12:39:58.31747+00"	"1"	""	"\N"	"100005361"	"2012-02-25 04:59:11.157605+00"	"3884"	"\N"	"\N"	"786"	"f"
"8002818"	""	"cs387 "	"100071233"	"<p>this is a little off this topic, but since 10^1 has two digits (10^2 three, 10^3 four etc.), wouldn't the numbers with 100 digits be {10^99, 10^99 + 1, ..., 10^100 - 1} ?</p>
<p>in that case, the answer would be 114 (with 227.95 rounded to 228).</p>
<p>could anyone please point out why they use 10^100 for a ""100-decimal-digit number"", when it has 101 digits?</p>"	"answer"	"8002110"	"8002110"	"2012-05-09 02:41:40.721625+00"	"0"	""	"\N"	"100008880"	"2012-09-30 01:46:20.565857+00"	"8004204"	"\N"	"\N"	"0"	"f"
"8002165"	""	"cs387 "	"100063037"	"<p>It states , that the complexity increases exponentially with the size of x. Assume x is a n-bit number. If x is close to $% 2^n - 1 $% , we approximately need to check those $% 2^n $% numbers. Now let y be a n+m-bit prime, assuming the highest bit is not zero. We now increased the pool of numbers to check from $% 2^n $% to $%2^m \cdot 2^n$%, so by increasing the number of bits by m we get in the worst case $% 2^m $% more modulo operations. Thats the trick ;)</p>
<p>Well these are only approximate arguments but i think the idea is clear.</p>"	"answer"	"8002157"	"8002157"	"2012-04-30 18:01:05.800986+00"	"2"	""	"8026669"	"100063037"	"2012-04-30 18:03:19.983628+00"	"8002945"	"\N"	"\N"	"0"	"f"
"8000358"	""	"cs387 "	"100016314"	"<p>A tweak to the code above, another way to remove the loop</p>
<pre><code>def str_to_bin2(s, pad=7):
output = """"
for c in s:
    b = bin(ord(c))
    b = b[2:] # Cut off the '0b' from the front
    output = '0' * (pad-len(b)) + b + output
return output
</code></pre>"	"answer"	"8000102"	"8000102"	"2012-04-18 16:43:10.286688+00"	"0"	""	"\N"	"100016314"	"2012-04-18 16:43:10.286688+00"	"8000426"	"\N"	"\N"	"0"	"f"
"8001893"	""	"cs387 "	"100000176"	"<p>Simple. They agree that say a negative integer denotes heads and positive one denotes tails. Alice picks an arbitrary large integer, k. Then she picks x = {-k, k} depending on the outcome of the coin toss, hashes that and sends it over to Bob. Now, in order for Bob to cheat, he needs to either guess the value k or hash all positive and negative integers and search for the hash Alice gave him. In order for Alice to cheat, she needs to find two integers k1, k2 such that H(k1) == H(-k2) or H(-k1) == H(k2). While neither feat is impossible, they both certainly are unfeasible, provided that H is perfect.</p>"	"answer"	"8001397"	"8001397"	"2012-04-28 01:45:26.674644+00"	"0"	""	"8024086"	"100000176"	"2012-04-28 05:44:22.403128+00"	"8002550"	"\N"	"\N"	"0"	"f"
"8001595"	""	"cs387 "	"100007381"	"<p>Pycryto library version 2.3 for windows (windows installer) available at voidspace.org<br>
but I am not sure this is the same version that the Server is using.  Version 2.5 is available<br>
but we are not using the latest...maybe that is the problem?  A COMMENT should be added at the beginning of each set of code provided so that we aren't continually ""stuck"" using the wrong Version?</p>"	"answer"	"8001496"	"8001496"	"2012-04-24 23:25:52.710818+00"	"0"	""	"\N"	"100007381"	"2012-04-24 23:25:52.710818+00"	"8002118"	"\N"	"\N"	"0"	"f"
"8001711"	""	"cs387 "	"100092590"	"<p>There was a lot of discussion of the problem in the forums.  Basically the ""key"" has to be the key for the entire alphabet, not a key per character.  So if the alphabet is A, there is only one key, also A.  If the alphabet is A there are two possible keys, AB or BA.  If the alphabet is ABC there are 6 possible keys, ABC, ACB, BAC, BCA, CAB, and CBA.  Now it would have been GREAT for someone to mention in the video what they were defining as a ""key"" for a substitution cypher because I also intuitively looked at it on a character by character basis.  </p>"	"answer"	"8001690"	"8001690"	"2012-04-26 00:36:40.070871+00"	"0"	""	"\N"	"100092590"	"2012-04-26 00:36:40.070871+00"	"8002283"	"\N"	"\N"	"0"	"f"
"3848"	"String Numbers"	"cs101 about number strings"	"100000691"	"<p>Why we count ''0'' for <strong>start</strong> instead of ''1'' and ''-1'' for the <strong>stop</strong> instead of ''0''. Seems more logical don't you thing?</p>"	"question"	"\N"	"\N"	"2012-02-23 23:03:07.15577+00"	"1"	""	"\N"	"100000691"	"2012-02-24 10:29:33.377435+00"	"4965"	"\N"	"\N"	"280"	"f"
"5662"	"HW Q4 nanodistance"	"cs101 decimal"	"100002436"	"<p>i wonder why the output came out 2.998e+17</p>"	"question"	"\N"	"\N"	"2012-02-25 18:28:22.566624+00"	"0"	""	"\N"	"100002436"	"2012-02-25 19:01:46.834883+00"	"7369"	"\N"	"\N"	"187"	"f"
"4262"	"Can we get a pdf version of HW #1?"	"cs101 hw homework"	"100000343"	"<p>Is it possible to post pdf version of current/future homework(s), similar to the notes for Unit-1?</p>"	"question"	"\N"	"\N"	"2012-02-24 06:34:04.39131+00"	"7"	""	"\N"	"122758669"	"2014-01-02 06:41:12.710075+00"	"5498"	"\N"	"\N"	"521"	"f"
"15289"	"What does n % 2 mean in Homework 2.5?"	"cs101 hw2.5"	"100005206"	"<p>if n % 2 == 0: # n is even</p>"	"question"	"\N"	"\N"	"2012-03-02 16:52:13.781472+00"	"3"	""	"57634"	"100008306"	"2012-03-04 16:15:28.274922+00"	"23309"	"\N"	"\N"	"669"	"f"
"5413"	"Can you help me?"	"cs101 "	"100001316"	"<p>for I can not visit the udacity vedio pages,so can you help me to send me the CS101 Course Vedios via EMAIL.My Email is:<br>
@8765004</p>"	"question"	"\N"	"\N"	"2012-02-25 11:11:33.996285+00"	"0"	"(closed)"	"25253"	"100001316"	"2012-02-27 07:19:45.875472+00"	"9089"	"\N"	"\N"	"230"	"t"
"4688"	"assigning more than line"	"cs101 python"	"100002321"	"<p>how to assign more than one line to avariable in python</p>"	"question"	"\N"	"\N"	"2012-02-24 15:28:30.782871+00"	"0"	""	"\N"	"100002321"	"2012-02-24 18:57:09.780846+00"	"6059"	"\N"	"\N"	"164"	"f"
"111"	"Why can't I watch video udacity?"	"video cs101 meta bug"	"100000066"	"<p>I am come from china.How to?</p>"	"question"	"\N"	"\N"	"2012-02-21 05:08:03.824261+00"	"0"	""	"100075539"	"100000239"	"2012-02-22 21:36:17.077627+00"	"100013171"	"\N"	"\N"	"1214"	"f"
"1054"	"speed of light"	"cs101 of speed light"	"100004506"	"<p>does somebody know how to do this?</p>"	"question"	"\N"	"\N"	"2012-02-22 00:47:26.747963+00"	"1"	""	"\N"	"100008612"	"2012-02-22 04:54:21.587776+00"	"1369"	"\N"	"\N"	"328"	"f"
"5505"	"for the final quiz in CS101 rounding to integer"	"cs101 hw1.9"	"100002000"	"<p>can i use functions we haven't taken yet ? !</p>"	"question"	"\N"	"\N"	"2012-02-25 13:25:16.835824+00"	"0"	""	"131274"	"100002000"	"2012-03-02 18:46:07.931413+00"	"53828"	"\N"	"\N"	"547"	"f"
"2"	"Welcome to the Udacity CS101 Forum!"	"cs101 welcome"	"100000005"	"<p>Welcome to the Udacity CS101 Discussion Forum! I hope you're all excited to learn about computer science and how to build a search engine!</p>"	"question"	"\N"	"\N"	"2012-02-20 01:36:05.717881+00"	"16"	""	"\N"	"100006869"	"2012-02-28 18:47:08.806379+00"	"2"	"\N"	"\N"	"861"	"f"
"6340"	"unit 1 - string indexing"	"cs101 unit1 indexing string"	"100002404"	"<p>what is the difference between [S] and [s+s) ? are they the same </p>"	"question"	"\N"	"\N"	"2012-02-26 15:17:51.893189+00"	"0"	""	"23036"	"100008283"	"2012-02-26 15:39:26.038042+00"	"8273"	"\N"	"\N"	"189"	"f"
"6657"	"Unit 1 - Subtitles not found after lesson 14"	"cs101 subtitles"	"100002767"	"<p>English isn't my first language and the subtitles are so helpful until lesson 14, after that, the videos don't have subtitles. So please, if possible, put subtitles on the videos, i'm really liking this course, thanks for the work.</p>"	"question"	"\N"	"\N"	"2012-02-26 21:34:55.056659+00"	"1"	""	"\N"	"100001394"	"2012-02-27 06:46:33.974841+00"	"8673"	"\N"	"\N"	"232"	"f"
"4799"	"doubt in homework 1"	"cs101 round"	"100002460"	"<p>In the last question of homework 1 i.e, rounding of numbers, what should be the rounding of 3.5 ? Is it 3 or 4 ?</p>"	"question"	"\N"	"\N"	"2012-02-24 17:30:00.591224+00"	"0"	""	"\N"	"100002560"	"2012-02-25 01:59:39.100958+00"	"6209"	"\N"	"\N"	"256"	"f"
"6232"	"CS101_UNIT_1_32 Python find function"	"cs101 pythonfind"	"100000377"	"<p>Hi </p>
<p>The find function returns a -1 when it doesn't find a sub-string in a string. My question is if there is a string say ""west"" and we find for t (""west"".find('t')), then it will return 3 as the position. But can it return -1 as well s it is the last position in the string ?  </p>"	"question"	"\N"	"\N"	"2012-02-26 10:28:14.736943+00"	"0"	""	"\N"	"100000377"	"2012-02-26 16:06:41.9243+00"	"8100"	"\N"	"\N"	"548"	"f"
"66193"	"Have the courses cs212, cs253, and cs262 started yet?"	"cs101 cs212 cs262 cs253"	"100007808"	"<p>Today is  4/16/12, have the courses gone live yet?  </p>"	"question"	"\N"	"\N"	"2012-04-16 12:36:08.043022+00"	"0"	"(closed)"	"208069"	"100007808"	"2012-04-16 12:49:23.453084+00"	"87554"	"\N"	"\N"	"680"	"t"
"4905"	"Issues with message board"	"cs101 message board"	"100004729"	"<p>I added an answer concerning floating point accuracy, and the answer doesn't show up. But if I go to edit the question, the text is still there. Anyone else experiencing this?</p>"	"question"	"\N"	"\N"	"2012-02-24 19:19:01.99706+00"	"0"	""	"\N"	"100004729"	"2012-02-24 19:24:57.493843+00"	"6340"	"\N"	"\N"	"290"	"f"
"2634"	"Issue with Python Editor"	"cs101 python"	"100001354"	"<p>Hi<br>
I am unable to give the programming quiz. I am not able to write anything on the browser inbuilt editor. Please help</p>"	"question"	"\N"	"\N"	"2012-02-23 06:35:21.954355+00"	"-1"	""	"\N"	"100001354"	"2012-02-23 06:43:07.452575+00"	"3371"	"\N"	"\N"	"88"	"f"
"1026605"	""	"cs373 "	"100004100"	"<p>Natural: English, some French<br>
Programming: First I'm going to list the ones I have used for more than a week or so at a time:Python (thanks to the Udacity courses), C++, C, Java (loathe it!), C#, JavaScript(been a while), FORTRAN(ugh),several variations on BASIC(ugh ugh), x86 Assembly, LISP.</p>
<p>Languages I have used for tiny things that pop up: Lua, Perl(loathe it), Bash/Awk/Sed, Octave(just for simple plots), and no doubt a good 20 more I can't even recall (stuff like AmigaDos...well, I guess technically I just remembered that one lol).</p>
<p>I can read Pascal, but I think that's a given for anyone with a C background. </p>
<p>Yeah, I am quite confident I am forgetting a lot of them. C++ is my favourite, Python is busy making a special place in my heart.</p>"	"answer"	"1026454"	"1026454"	"2012-03-25 17:18:39.037727+00"	"0"	""	"\N"	"100004100"	"2012-03-25 17:18:39.037727+00"	"1036233"	"\N"	"\N"	"0"	"f"
"5007"	"course content"	"cs101 course"	"100002421"	"<p>i cant view the course content</p>"	"question"	"\N"	"\N"	"2012-02-24 21:24:37.241614+00"	"0"	""	"\N"	"100000593"	"2012-02-24 21:44:32.659798+00"	"6480"	"\N"	"\N"	"160"	"f"
"8011"	"answers choices not being saved"	"cs101 not saved answers"	"100003672"	"<p>the answer choices for the hw dont seem to be saved tho the submission says saved. after reopening the question the boxes are still blank.</p>"	"question"	"\N"	"\N"	"2012-02-28 03:39:31.694383+00"	"1"	""	"\N"	"100003672"	"2012-02-28 04:06:29.734523+00"	"10334"	"\N"	"\N"	"182"	"f"
"8129"	"[bug] searching cause server error"	"cs101 search bug forum"	"100005714"	"<p>hi, i canot figure out why but if i search ""non english questions"" it returns an 500 internal server error i tried with other querys but all of the work</p>"	"question"	"\N"	"\N"	"2012-02-28 05:12:51.894285+00"	"0"	""	"\N"	"100005714"	"2012-02-28 05:12:51.894285+00"	"10479"	"\N"	"\N"	"148"	"f"
"665"	"Any NYC area CS 101 students?"	"cs101 students nycofficehours inperson"	"100002014"	"<p>Would love to meet and review in person...local office hours?</p>"	"question"	"\N"	"\N"	"2012-02-21 18:28:20.952798+00"	"0"	"(wiki)"	"2763"	"100005800"	"2012-03-07 21:09:41.986776+00"	"877"	"\N"	"\N"	"225"	"f"
"50650"	"how to count loops in recursive definitions?"	"cs101 hw6.3 homework"	"100002695"	"<p>I don't know how to count how many times a recursice defintion is run through. If I try to count with a variable( i = 0 and then i = i + 1) it is always set back to zero which is logical but I'm stuck here. Any suggestions?<br>
Thanks!</p>"	"question"	"\N"	"\N"	"2012-03-28 20:56:02.93179+00"	"3"	""	"\N"	"100004292"	"2012-03-30 19:52:58.178732+00"	"67039"	"\N"	"\N"	"1419"	"f"
"4301"	"Homework 1 not getting saved"	"cs101 homework"	"100002215"	"<p>After I save the homework answer and come back later I do not see it saved. Is there a problem?</p>
<p>For programming homework it is saved in python.</p>
<p>Sandip</p>"	"question"	"\N"	"\N"	"2012-02-24 07:25:58.739801+00"	"0"	""	"\N"	"100001271"	"2012-02-24 08:21:36.363426+00"	"5545"	"\N"	"\N"	"146"	"f"
"3641"	"Homework 1[Spanish Group]"	"cs101 spanish homework hw1"	"100000800"	"<p>Dudas y consultas sobre la tarea numero 1.</p>"	"question"	"\N"	"\N"	"2012-02-23 20:31:38.072718+00"	"3"	""	"133828"	"100004473"	"2012-02-29 23:49:00.207906+00"	"54939"	"\N"	"\N"	"967"	"f"
"7198"	"When solving quizzes, homework, are we supposed to use only Python code taught so far?"	"cs101 python learned code taught"	"100003254"	"<p>When solving quizzes, homework, are we supposed to use only Python code that we were taught up to that point?</p>
<p>Thanks.</p>"	"question"	"\N"	"\N"	"2012-02-27 15:17:58.274215+00"	"1"	"(closed)"	"25925"	"100003254"	"2012-02-27 15:48:30.86015+00"	"9338"	"\N"	"\N"	"407"	"t"
"1239"	"Closing duplicate questions"	"cs101 closing forums"	"100008243"	"<p>How do you close a question that is a duplicate of another? For example, there are MANY posts asking about the fist homework assignment. We have already answered this question and these other threads should be closed. Is there a karma requirement? If so, what is it? This isn't addressed in the FAQ.</p>"	"question"	"\N"	"\N"	"2012-02-22 04:09:26.765222+00"	"4"	""	"\N"	"100005995"	"2012-02-22 04:32:05.454717+00"	"1609"	"\N"	"\N"	"221"	"f"
"1635"	"Linking to other Stack Exchange profiles"	"cs101 linked overflow accounts stack exchange"	"100006096"	"<p>Hi guys, if I go to my Stack Overflow profile I see a tab called accounts.  This forum looks like it was built as a Stack Exchange site and I signed in with the same email, is it possible to link the two so this will appear as under my Stack Overflow account tab?</p>"	"question"	"\N"	"\N"	"2012-02-22 14:18:45.773623+00"	"1"	""	"\N"	"100002010"	"2012-02-22 14:23:20.527146+00"	"2116"	"\N"	"\N"	"204"	"f"
"8478"	"Homework1 what happens if i dont finish it to tomorow"	"cs101 homework1"	"100003456"	"<p>Hello everybody, </p>
<p>i just started the class today. At first i got an email that told me that i have to finish my homework till tomorow. I dont think i can make it in this short time. So what will happen if i dont finish.</p>"	"question"	"\N"	"\N"	"2012-02-28 11:48:07.827102+00"	"0"	""	"\N"	"100003178"	"2012-02-28 12:59:09.461576+00"	"10908"	"\N"	"\N"	"335"	"f"
"2815"	"Homework assignment"	"cs101 homework"	"100007764"	"<p>those who were expecting for homework number 1... Is ready, just chech in your course content...</p>
<p>Best Regards!!!</p>"	"question"	"\N"	"\N"	"2012-02-23 10:20:36.951524+00"	"0"	""	"\N"	"100005361"	"2012-02-23 10:42:01.13755+00"	"3596"	"\N"	"\N"	"207"	"f"
"2626"	"word caption on course material"	"cs101 caption word"	"100001360"	"<p>Can we turn the word caption on and off for the reading of the course material?</p>"	"question"	"\N"	"\N"	"2012-02-23 06:24:00.245686+00"	"0"	""	"\N"	"100001114"	"2012-02-23 06:36:10.2172+00"	"3363"	"\N"	"\N"	"109"	"f"
"4474"	"Is anyone here from ai-class?"	"cs101 ai-class"	"100002285"	"<p>I'd like to know how many of ours took the (Sebastian&amp;Peter)'s Artificial Intelligence class last year? </p>"	"question"	"\N"	"\N"	"2012-02-24 11:42:07.481626+00"	"0"	""	"\N"	"100008283"	"2012-02-24 11:45:03.482216+00"	"5779"	"\N"	"\N"	"127"	"f"
"12002"	"Finding With Numbers"	"cs101 finding with numbers"	"100004781"	"<p>Where can I get additional examples for Unit 1, numbers 35 &amp; 36, Finding With Numbers?</p>"	"question"	"\N"	"\N"	"2012-03-01 03:43:12.036784+00"	"0"	""	"\N"	"100007303"	"2012-03-01 04:04:26.756377+00"	"15387"	"\N"	"\N"	"158"	"f"
"8483"	"Who hasn't finished HW1?"	"cs101 homework1 hw1"	"100003292"	"<p>Anybody who hasn't finished homework 1 yet?</p>"	"question"	"\N"	"\N"	"2012-02-28 11:50:44.861809+00"	"0"	""	"\N"	"100000527"	"2012-02-29 06:44:25.479683+00"	"10913"	"\N"	"\N"	"327"	"f"
"2971"	"Gaming the site rankings"	"cs101 ranking"	"100001718"	"<p>I'm curious if the course will have information about preventing some of the basic gaming by web site owners/designers to increase their rankings?</p>
<p>Thanks,<br>
MBF2234</p>"	"question"	"\N"	"\N"	"2012-02-23 12:06:20.552796+00"	"3"	""	"\N"	"100001927"	"2012-02-23 16:31:17.684268+00"	"3824"	"\N"	"\N"	"235"	"f"
"7210"	"Rounding off Problem"	"cs101 rounding off if"	"100003274"	"<p>How many of you have used ""if"" in the Rounding off problem?</p>"	"question"	"\N"	"\N"	"2012-02-27 15:24:38.557906+00"	"1"	""	"\N"	"100026292"	"2013-06-25 17:22:53.778362+00"	"9356"	"\N"	"\N"	"555"	"f"
"6547"	"Error message from string indexing"	"cs101 indexing error"	"100005041"	"<p>Assuming: var1 = ""dinner""</p>
<p>print var1[7]<br>
returns the error message: ""IndexError: string index out of range""<br>
(OK, I understand that)</p>
<p>but<br>
print var1[:7] + var1[7:]<br>
returns no error message<br>
WHY NOT?</p>"	"question"	"\N"	"\N"	"2012-02-26 19:09:33.529756+00"	"0"	""	"\N"	"100005041"	"2012-02-26 20:46:53.351137+00"	"8529"	"\N"	"\N"	"171"	"f"
"11726"	"grades- Where can I find my grade and the videos to get the correct answ?"	"cs101 grades where"	"100002813"	"<p>Hello, I don't know where to find in the web my own grade and the correct answers Could you help me? Thanks in advance, Vanesa.</p>"	"question"	"\N"	"\N"	"2012-03-01 02:03:26.803793+00"	"0"	""	"132947"	"100002813"	"2012-03-01 02:31:54.005591+00"	"54599"	"\N"	"\N"	"221"	"f"
"6120"	"Homework assignments"	"cs101 homework"	"100001360"	"<p>I notice that if I go back and review the answers I submitted for each question,<br>
